Day,death_cnt,case_cnt,daily_death,daily_cases
2020-06-14,2735.252525252525,45593.64646464647,14.141414141413861,37.0
2020-06-15,2748.818181818182,45627.80808080808,13.565656565656809,34.161616161611164
2020-06-16,2761.818181818182,45659.28282828283,13.0,31.474747474749165
2020-06-17,2774.343434343434,45688.35353535353,12.5252525252522,29.070707070706703
2020-06-18,2786.252525252525,45715.17171717172,11.909090909090992,26.818181818183803
2020-06-19,2797.6767676767677,45739.79797979798,11.424242424242493,24.62626262626145
2020-06-20,2808.777777777778,45762.53535353536,11.10101010101016,22.73737373737822
2020-06-21,2819.242424242424,45783.52525252525,10.464646464646194,20.989898989893845
2020-06-22,2829.242424242424,45802.84848484849,10.0,19.32323232323688
2020-06-23,2838.8585858585857,45820.64646464647,9.616161616161662,17.79797979797877
2020-06-24,2848.161616161616,45836.9898989899,9.303030303030482,16.343434343434637
2020-06-25,2856.939393939394,45852.10101010101,8.777777777777828,15.111111111109494
2020-06-26,2865.373737373737,45865.88888888889,8.434343434343191,13.78787878787989
2020-06-27,2873.4343434343436,45878.64646464647,8.06060606060646,12.757575757575978
2020-06-28,2881.121212121212,45890.333333333336,7.686868686868365,11.686868686869275
2020-06-29,2888.5252525252527,45901.131313131315,7.404040404040643,10.797979797978769
