Day,death_cnt,case_cnt,daily_death,daily_cases
2020-05-16,9778.636363636364,138524.51515151514,,
2020-05-17,9931.343434343435,140109.34343434343,152.70707070707067,1584.8282828282972
2020-05-18,10079.080808080807,141635.2323232323,147.73737373737276,1525.888888888876
2020-05-19,10221.868686868687,143103.68686868687,142.7878787878799,1468.4545454545587
2020-05-20,10359.90909090909,144516.35353535353,138.0404040404028,1412.666666666657
2020-05-21,10493.161616161617,145874.85858585857,133.25252525252654,1358.5050505050458
2020-05-22,10621.79797979798,147181.11111111112,128.63636363636397,1306.252525252552
2020-05-23,10745.626262626263,148436.49494949495,123.82828282828268,1255.3838383838302
2020-05-24,10864.868686868687,149642.80808080808,119.24242424242402,1206.3131313131307
2020-05-25,10979.757575757576,150801.67676767678,114.88888888888869,1158.8686868686927
2020-05-26,11090.333333333334,151914.56565656565,110.57575757575796,1112.888888888876
2020-05-27,11196.79797979798,152982.9696969697,106.46464646464665,1068.4040404040425
2020-05-28,11299.0101010101,154008.47474747474,102.21212121212011,1025.5050505050458
2020-05-29,11397.323232323231,154992.42424242425,98.31313131313073,983.9494949495129
2020-05-30,11491.575757575758,155936.38383838383,94.25252525252654,943.9595959595754
2020-05-31,11582.121212121212,156841.78787878787,90.54545454545405,905.4040404040425
2020-06-01,11668.9898989899,157710.21212121213,86.86868686868729,868.4242424242548
2020-06-02,11752.29292929293,158543.0707070707,83.30303030303003,832.858585858572
2020-06-03,11832.161616161617,159341.51515151514,79.86868686868729,798.444444444438
2020-06-04,11908.757575757576,160107.0202020202,76.59595959595936,765.5050505050749
2020-06-05,11982.060606060606,160840.69696969696,73.30303030303003,733.6767676767486
2020-06-06,12052.262626262625,161543.91919191918,70.20202020201941,703.222222222219
2020-06-07,12119.494949494949,162217.61616161617,67.23232323232332,673.69696969699
2020-06-08,12183.858585858587,162863.0303030303,64.36363636363785,645.4141414141341
2020-06-09,12245.454545454546,163481.35353535353,61.59595959595936,618.3232323232223
2020-06-10,12304.38383838384,164073.63636363635,58.9292929292933,592.2828282828268
2020-06-11,12360.676767676769,164640.9595959596,56.29292929292933,567.3232323232514
2020-06-12,12414.474747474747,165184.25252525252,53.79797979797877,543.2929292929184
2020-06-13,12465.939393939394,165704.65656565657,51.46464646464665,520.4040404040425
2020-06-14,12515.020202020201,166202.94949494948,49.0808080808074,498.2929292929184
2020-06-15,12562.040404040405,166680.101010101,47.020202020203214,477.15151515151956
2020-06-16,12606.858585858587,167136.9696969697,44.81818181818198,456.86868686869275
2020-06-17,12649.848484848484,167574.24242424243,42.98989898989748,437.2727272727352
2020-06-18,12690.727272727272,167992.84848484848,40.87878787878799,418.60606060604914
2020-06-19,12729.79797979798,168393.42424242425,39.07070707070852,400.57575757577433
2020-06-20,12767.030303030304,168777.0,37.232323232323324,383.57575757574523
2020-06-21,12802.676767676769,169144.0303030303,35.646464646464665,367.0303030303039
2020-06-22,12836.626262626263,169495.36363636365,33.94949494949469,351.33333333334303
2020-06-23,12869.0,169831.57575757575,32.37373737373673,336.2121212120983
2020-06-24,12899.979797979799,170153.32323232322,30.979797979798605,321.7474747474771
2020-06-25,12929.373737373737,170461.1616161616,29.393939393938126,307.83838383838884
2020-06-26,12957.444444444445,170755.797979798,28.070707070708522,294.63636363638216
2020-06-27,12984.242424242424,171037.72727272726,26.79797979797877,281.92929292927147
2020-06-28,13009.838383838383,171307.43434343435,25.595959595959357,269.7070707070816
2020-06-29,13034.212121212122,171565.44444444444,24.37373737373855,258.0101010100916
