Day,death_cnt,case_cnt,daily_death,daily_cases
2020-06-13,25480.20202020202,380283.38383838383,98.09090909091174,1361.6464646464447
2020-06-14,25574.666666666668,381594.2121212121,94.46464646464665,1310.8282828282681
2020-06-15,25665.434343434343,382856.0303030303,90.76767676767486,1261.8181818181765
2020-06-16,25752.79797979798,384070.54545454547,87.36363636363603,1214.5151515151956
2020-06-17,25836.777777777777,385239.38383838383,83.9797979797986,1168.8383838383597
2020-06-18,25917.515151515152,386364.23232323234,80.73737373737458,1124.8484848485095
2020-06-19,25995.333333333332,387446.6666666667,77.81818181818016,1082.4343434343464
2020-06-20,26070.272727272728,388488.2626262626,74.93939393939581,1041.5959595959284
2020-06-21,26142.303030303032,389490.3232323232,72.03030303030391,1002.0606060606078
2020-06-22,26211.575757575756,390454.3939393939,69.2727272727243,964.0707070706994
2020-06-23,26278.131313131315,391381.83838383836,66.55555555555839,927.444444444438
2020-06-24,26342.131313131315,392274.0101010101,64.0,892.1717171717319
2020-06-25,26403.696969696968,393132.1414141414,61.565656565653626,858.1313131313073
2020-06-26,26462.9797979798,393957.57575757575,59.28282828283045,825.4343434343464
2020-06-27,26519.959595959597,394751.45454545453,56.979797979798605,793.8787878787844
2020-06-28,26574.777777777777,395514.9494949495,54.818181818180165,763.4949494949542
