Day,death_cnt,case_cnt,daily_death,daily_cases
2020-06-13,4273.10101010101,89866.0808080808,22.656565656565363,334.7272727272648
2020-06-14,4294.707070707071,90183.8686868687,21.606060606060964,317.78787878788717
2020-06-15,4315.30303030303,90485.50505050505,20.595959595959357,301.63636363635305
2020-06-16,4334.979797979798,90771.56565656565,19.676767676767668,286.0606060606078
2020-06-17,4353.676767676768,91042.84848484848,18.696969696969973,271.2828282828268
2020-06-18,4371.535353535353,91299.87878787878,17.858585858585684,257.0303030303039
2020-06-19,4388.545454545455,91543.36363636363,17.010101010101607,243.48484848484804
2020-06-20,4404.666666666667,91774.0,16.12121212121201,230.6363636363676
2020-06-21,4420.0,91992.35353535354,15.33333333333303,218.3535353535408
2020-06-22,4434.585858585859,92198.93939393939,14.58585858585866,206.58585858585138
2020-06-23,4448.464646464647,92394.22222222222,13.878787878787989,195.2828282828268
2020-06-24,4461.606060606061,92579.0303030303,13.141414141414316,184.80808080808492
2020-06-25,4474.121212121212,92753.54545454546,12.515151515151047,174.51515151515196
2020-06-26,4485.969696969697,92918.52525252526,11.848484848484986,164.97979797980224
2020-06-27,4497.212121212121,93074.31313131313,11.242424242424022,155.78787878787261
2020-06-28,4507.888888888889,93221.42424242424,10.676767676767668,147.1111111111095
2020-06-29,4518.040404040404,93360.24242424243,10.151515151515014,138.81818181819108
